entity,P2963
Q5161928,7137
Q5297898,16267
Q5341927,51535
Q5533066,4367
Q6370079,24586
Q6380527,3501
Q6780053,5619
Q6847725,2607
Q7151402,12647
Q7177517,32430
Q7456556,44918
Q7626839,8363
Q7965359,15544
Q10295252,12677
Q13563022,97284
Q16150551,5478
Q57418844,1254192
Q61792096,97160
Q5816,4797485
Q6512,6172
Q6950,18149
Q7543,4035
Q7235,1002
Q19526,3503
Q25089,10356
Q34933,289
Q35155,235
Q44520,8249
Q46248,1654
Q100334242,31722
Q112124734,97270
Q112125733,18986
Q2055564,15907
Q2067410,26181
Q2959848,336374
Q3051213,3420
Q3169240,24710
Q3304340,29593
Q3336395,34261
Q3898198,18371
Q4909245,3235
Q5214688,2358
Q5257664,25893
Q5335618,15420
Q6526608,149082
Q7151694,28996
Q7175567,31308
Q7279300,164139
Q7284537,21618
Q7390666,1683324
Q12423932,170980
Q19826737,324500
Q23035402,266734
Q65129815,18384
Q4985,1624
Q5683,1838
Q39803,22515
Q44584,17384
Q57971,15873
Q61723,212581
Q63309,256362
Q64587,204497
Q81448592,207270
Q104777977,246818
Q123195279,2359
Q81071,14473
Q82925,3345
Q123053,49
Q140052,2522
Q140694,465
Q182047,60
Q182788,5103
Q186273,6526
Q211987,466
Q217110,589
Q232212,1973
Q258741,2530
Q262502,20357
Q267691,238
Q272492,3617
Q292180,267
Q297425,3030
Q310257,1432
Q312467,3948807
Q313482,1538
Q319189,6440
Q320767,7919
Q325130,8726
Q353137,868
Q356357,1050
Q357108,1467
Q368337,1235
Q382460,1201
Q435262,4183
Q437123,26414
Q444065,12535
Q452246,13741
Q450845,2526
Q452404,197
Q465028,1452
Q529082,2508
Q712191,2313
Q718463,18
Q722103,8170
Q732434,90
Q929268,80702
Q952181,28952
Q1157861,20
Q1165426,81319
Q1701049,40
Q2481520,4928
Q2754419,50690
Q2893079,14053
Q3663596,109204
Q3784504,1843
Q5113035,6846
Q5340732,90380
Q5981257,82722
Q6231557,1236
Q6396491,193
Q6759825,28970
Q7147004,11503
Q7160508,24403
Q8071937,27
Q13563142,13633
Q54805395,127096
Q64734869,21129
Q410,10538
Q1151,27838
Q1511,13890
Q6527,7994
Q9358,1938
Q60025,12806
Q110979352,14482
Q113085303,58622
Q76546,6519
Q85361,11572
Q71714,117748
Q93815,11590
Q114509,4999
Q113105,10401
Q176558,5209
Q178369,1058
Q183492,3472
Q180223,6247
Q193674,33200
Q189564,5387
Q191023,57189
Q193116,569
Q205242,60281
Q214660,10039
Q232810,1567
Q239934,316
Q239911,5672
Q240547,2384
Q234718,9432
Q241583,2751
Q237514,5300
Q254820,4415
Q259200,6104
Q263648,12075
Q266075,20513
Q265270,52310
Q272855,4280
Q286116,10992
Q288198,10333
Q297510,24346
Q292552,8546
Q295589,908
Q310111,10229
Q310176,11337
Q311755,2383
Q316313,3305
Q316610,12534
Q346805,17216
Q361149,23069
Q434164,13234
Q443109,19475
Q451136,2749
Q453427,2560
Q505154,13113
Q513262,30830
Q519984,588
Q550462,4794
Q611672,1055
Q659409,46742
Q726194,6098
Q1006152,13641
Q1152905,317
Q1175150,28978
Q1226328,3545
Q1372993,5690
Q1374829,37449
Q1898912,13550
Q2256834,29731
Q2865022,26399
Q3312178,17134
Q3379844,41799
Q3701871,22318
Q3900936,26904
Q3938269,12879
Q4356114,2713
Q4731745,3087
Q4908271,2495
Q5130292,1792
Q6198081,21550
Q7301913,11220
Q7327210,20607
Q7611785,28596
Q15463449,12733
Q16730300,44821
Q5686,239579
Q15975,4449652
Q16285,30195
Q16397,32579
Q12908,76751
Q13914,811
Q17892,59712
Q20951,502953
Q23685,6113
Q24302,9950
Q28170,5791
Q37151,1771
Q38222,3231
Q43444,1461
Q43736,8550
Q44107,965
Q47484,7617
Q55800,3518
Q49072,9020
Q50020,57651
Q63193,35595
Q63670,2766
Q48379,11160
Q120648616,53340
Q78159947,146356
Q108170351,111333
Q124734131,70845
Q272622,10015
Q273210,10427
Q298827,9057
Q314256,7921
Q319820,9657
Q457923,5282
Q462266,41542
Q467169,6637
Q468523,68992
Q518084,3275
Q535252,32401
Q553137,6569
Q589497,3371
Q645406,3324
Q713778,4432
Q720317,33262
Q732338,3539
Q737570,9233
Q795238,52280
Q863057,438
Q1087159,61015
Q1189595,61918
Q1346126,61958
Q1442418,445
Q2473242,46786
Q3050726,4419381
Q3117328,54290
Q3195197,60623
Q3309228,45763
Q3754369,32360
Q4772725,5752
Q5372276,10413
Q6175118,58133
Q7342943,50344
Q8023184,6810
Q15429061,53181
Q15485502,579181
Q47195215,43221
Q54823953,36935
Q58491595,6537142
Q692,947
Q1399,16201
Q55245,952
Q40874,7728
Q47243,128607
Q57386,107487
Q106632687,48323
Q108886489,3690
Q116256706,50045
Q123467755,43501
Q712555,25892
Q720806,51209
Q722422,28607
Q778716,37715
Q943567,2937
Q950949,46118
Q1190926,24902
Q1233576,3572
Q1248054,4947
Q1291185,37030
Q1293722,23194
Q1662745,3776
Q1691383,26171
Q1780503,27704
Q1855263,40098
Q2440127,2636
Q2706276,46520
Q3012102,22995
Q3275728,4747
Q3281158,37013
Q3500849,3936
Q4395105,48965
Q4934057,20125
Q5075081,23320
Q5332730,2130
Q6195254,46228
Q7421757,26891
Q7562588,36718
Q18535848,1897404
Q55072099,32530
Q23481,41616
Q35610,2448
Q44306,3299
Q45111,5044885
Q49017,25372
Q49767,40496
Q52255,23613
Q55771,18879541
Q57187,448767
Q78494,17219
Q78496,8674
Q92804,552
Q123075,16073
Q131112,1291
Q182658,1825
Q186335,16927
Q214477,3465
Q219368,5231
Q219862,7363
Q229996,861
Q234335,17285
Q236321,1949
Q241248,1728
Q262116,9343
Q262277,2815
Q270728,26814
Q274016,12990
Q296752,815
Q304592,3277
Q313739,3049
Q310913,9074
Q311253,7415
Q313772,8419
Q320884,9996
Q345612,236
Q356429,8154
Q345249,8794
Q353915,65304
Q367336,375
Q373423,722
Q380229,3407
Q380558,9243
Q379895,858
Q387005,55823
Q405295,10190
Q452147,2122
Q452722,3502
Q454515,1928
Q455852,4735
Q450243,7277
Q452159,62649
Q468851,5329
Q469090,5571
Q469888,51834
Q528134,67276
Q552955,8058
Q669956,62357
Q673567,6245
Q671520,11820
Q707469,8203
Q726071,19824
Q715692,6866
Q744237,8483
Q807689,6415
Q892108,6975
Q1060636,7176
Q1351191,8864
Q1929737,76779
Q2303206,6062
Q3157819,5023
Q555298,57720
Q16130742,108642
Q113644513,7031722
Q80064,6517
Q93343,45882
Q72913,14311491
Q115243,36378
Q128126,33321
Q142106,6590
Q123407,1246558
Q153701,45315
Q173481,7816
Q179109,13084
Q185696,1315
Q214475,46245
Q214622,5668
Q217619,5735
Q233479,64761
Q235014,6160
Q214565,11593
Q236606,419
Q236950,6085
Q236848,7308
Q263730,31779
Q266187,62293
Q250539,115388
Q273168,45374
Q275602,4464
Q277308,4763
Q272794,6760
Q313001,6570
Q336125,3369
Q327287,13360
Q351547,447
Q356428,5816
Q350404,8588
Q364189,6941
Q363227,51503
Q368224,6587
Q370921,867
Q437224,5353
Q442535,37103
Q433800,7621
Q433597,12673
Q465679,107526
Q495754,7371
Q517826,118313
Q575345,11735
Q654747,51606
Q662611,122917
Q680185,11193
Q690233,12014
Q704860,10380
Q717736,89813
Q726924,12903
Q788718,7616
Q794213,1238
Q816459,11100
Q1230809,7486
Q1267116,117675
Q1273533,10105
Q1371409,61442
Q1429736,5711
Q1461292,63021
Q1803115,12991
Q2415420,9678
Q2939963,9059
Q2940723,81158
Q3097982,6970
Q4909226,71028
Q4961414,53984
Q4955103,12603
Q5391986,116932
Q5567248,551500
Q6173632,53304
Q6519385,13591
Q6709104,10359
Q6760787,10652
Q7351501,8687
Q7364928,7447
Q19357429,13376
Q27036951,13373
Q56653630,84269
Q64136842,86519
Q504,4750
Q11941,3582
Q16297,43972
Q22714,45306
Q12881,566
Q33772,4081
Q39987,3681
Q40479,6538289
Q42156,67070
Q42552,6669
Q25014,11777
Q44575,5822041
Q45294,645642
Q57085,8788
Q59478,10491
Q59581,1182657
Q76529,136798
Q81438,1438
Q122736,2131
Q154723,2782
Q181716,13957
Q212727,15872
Q219377,2345
Q239739,29535
Q254215,26457
Q263681,2386
Q268181,2546
Q310161,15603
Q313007,2929
Q333004,3073
Q369116,12815
Q434706,23389
Q441067,1339
Q444313,26835
Q451009,16549
Q466431,2633
Q533256,21050
Q544611,27069
Q561116,24707
Q720562,12052
Q725745,159504
Q729094,137324
Q734955,21218
Q740969,219
Q767439,3058
Q780739,15291
Q937835,2996
Q1054177,15300
Q1174627,1873
Q1412142,27205
Q1567582,25322
Q2897946,13677
Q3908954,14920
Q4357833,13942
Q4529841,23144
Q5232256,147806
Q5271039,29647
Q5444469,2609
Q5470488,31353
Q6140101,14199
Q6910826,2695
Q7330584,13733
Q7357846,26864
Q7964666,13291
Q13426980,26770
Q28481204,31355
Q47503826,16360
Q9049,2476
Q33760,17854
Q34969,289513
Q111049661,131380
Q116269496,1943179
Q117835873,140986
Q78484,2593
Q193111,33472
Q193357,2001717
Q208101,3167
Q298334,6900
Q458658,9172
Q506430,4216
Q3402435,526766
Q310341,669
Q75889,23162
Q105167,3892
Q130631,4132
Q156214,39344
Q164797,41108
Q183031,2014
Q200661,21778
Q215820,30703
Q216134,23510
Q217557,3524
Q230591,3506
Q242613,32743
Q249197,36714
Q256548,2637
Q261465,28707
Q276028,2041
Q311602,30913
Q313466,2715
Q314416,20295
Q314787,46247
Q318099,24689
Q329999,23124
Q333713,26970
Q336881,41858
Q361623,3527
Q435801,21072
Q462629,3999
Q528111,5003
Q539835,327752
Q550819,397
Q558138,40577
Q591270,4420
Q682767,45596
Q707088,287182
Q66282,578136
Q69339,7799
Q73176,52832
Q75603,39087
Q84211,38329
Q84233,46766
Q107194,83961
Q134477,43740
Q158997,50252
Q172684,3948
Q210669,3447
Q220018,7190
Q230476,5132
Q234816,51133
Q271824,81433
Q276355,79589
Q328949,43734
Q337351,41112
Q348244,47260
Q359498,7163
Q435792,44620
Q444136,7956
Q453288,5229
Q489831,8236
Q538719,74201
Q541912,4697
Q680335,4414
Q691798,8122
Q711926,5279
Q903331,43443
Q972676,46110
Q1134053,581587
Q1242948,7505
Q1356272,70147
Q1368134,6262
Q2000797,56836
Q2156711,6412
Q2578761,41749
Q2830359,37551
Q2838773,7113
Q2940032,5097
Q3161920,3540
Q3568581,50881
Q3740646,4436
Q4963315,84295
Q5107763,53305
Q5416144,35389
Q5517167,38338
Q5944494,43595
Q6755899,80029
Q7796519,5732
Q16018352,36121
Q16211564,56064
Q17183493,50857
Q55712341,44059
Q12857,42429
Q26621,50553
Q37103,63031
Q60137,4493
Q98070664,65581
Q106575464,6542059
Q112469081,69769
Q115965636,56130
Q121484939,47314
Q75612,14444
Q76820,122469
Q82083,11978
Q85554,14208855
Q92620,64947
Q124527,16839
Q106997,5693
Q111619,3464592
Q119499,517654
Q122123,14539426
Q123108,1917181
Q123706,60994
Q123867,2885224
Q125249,15865
Q125663,34589
Q126779,1686138
Q128560,2533
Q130786,48388
Q172766,17295
Q157326,3325
Q188385,9325
Q163118,7732
Q167289,43745
Q187364,17717
Q192069,10657
Q211539,12397
Q213393,151350
Q231424,11679
Q234255,12665
Q234338,17765
Q217495,7287
Q219640,13458
Q228589,31428
Q233424,50873
Q253288,22692
Q255463,10733
Q237875,22393
Q239131,76299
Q240647,22602
Q245257,7565
Q271973,15188
Q288627,6331
Q289812,2362
Q291774,4711
Q292175,73340
Q312405,44037
Q315380,7735
Q401023,65220
Q432945,63898
Q436712,5738
Q440744,38313
Q446899,3897
Q447026,44315
Q465257,80140
Q543836,40707
Q548156,70177
Q553527,5073
Q588933,38954
Q606553,39616
Q708563,361386
Q713222,44677
Q890980,72538
Q952347,41319
Q1208954,43651
Q1344078,46709
Q1393782,38101
Q1496028,38391
Q1530365,61346
Q1681667,44540
Q1690262,41180
Q1876315,52458
Q2075584,34228
Q2082072,36501
Q2120623,629064
Q2595739,33406
Q3016126,71131
Q3074245,64636
Q3170173,40513
Q5678883,75051
Q5763170,34076
Q6115396,45612
Q6964665,6377
Q7150924,5863
Q7225788,70403
Q7422512,37182
Q16202843,54828
Q23940091,336926
Q66572875,38598
Q5749,114439
Q17714,1401
Q489,18481
Q1124,5944
Q1541,13755
Q1403,7702
Q6882,5144
Q41502,25619
Q100319998,347770
Q110731965,41784
Q112252154,350328
Q116787459,543945
Q439396,1791
Q451379,8360
Q450913,1001034
Q454651,119830
Q540024,14617
Q726177,8178
Q732389,9061
Q741527,810
Q940902,12505
Q962698,1863
Q966228,14080
Q1397350,8278
Q1703223,14084
Q2481000,2850
Q2500222,19753
Q2741191,8540
Q3135550,145129
Q3310821,88203
Q3311526,9384
Q3306454,181365
Q3897539,21475
Q4331780,12275
Q4685212,12433
Q4963258,1616
Q5186349,15141
Q5239868,104017
Q5263402,282779
Q5294819,126211
Q5387228,15662
