entity,P172
Q124418630,Q7325
Q124418845,Q7325
Q124515662,Q15863
Q124625722,Q7325
Q124728435,Q12223
Q124987286,Q12223
Q125177538,Q12223
Q125218286,Q12223
Q125398997,Q12223
Q125487478,Q12223
Q3267318,Q8060
Q81939428,Q7325
Q53340679,Q34069
Q111494496,Q34311
Q435320,Q40477
Q1707608,Q36747
Q5830870,Q41477
Q16009928,Q37014
Q16144697,Q36747
Q84399564,Q36550
Q101006907,Q36411
Q124851192,Q35323
Q123463731,Q7325
Q71149002,Q41477
Q2623057,Q7325
Q96084388,Q7325
Q124608262,Q12223
Q125353023,Q12223
Q400930,Q35323
Q42844775,Q7325
Q293497,Q35323
Q3012690,Q35323
Q4025793,Q35323
Q4702171,Q35323
Q5955405,Q35323
Q96243974,Q35323
Q106942966,Q35323
Q122311655,Q35323
Q1146861,Q34069
Q113680103,Q34311
Q6700184,Q34069
Q2997652,Q42406
Q4497483,Q42406
Q4762597,Q42406
Q123353227,Q32768
Q14945732,Q42406
Q16239467,Q42406
Q131548,Q42193
Q186748,Q42406
Q218322,Q42406
Q676049,Q42406
Q710046,Q42406
Q715338,Q42406
Q892,Q42406
Q3335,Q42406
Q41513,Q42406
Q45546,Q42406
Q125546574,Q41975
Q147220,Q42740
Q270130,Q42740
Q298052,Q42740
Q374757,Q42740
Q464470,Q42740
Q465324,Q42740
Q467140,Q42740
Q537211,Q42740
Q553678,Q42740
Q559957,Q42740
Q703117,Q42740
Q715627,Q42740
Q5816,Q42740
Q51101,Q42740
Q87418288,Q42406
Q4269740,Q7325
Q17505145,Q7325
Q21984544,Q35323
Q611832,Q15863
Q714925,Q42406
Q842313,Q42406
Q8249783,Q42740
Q8249793,Q42740
Q8249811,Q42740
Q8259536,Q42740
Q8259593,Q42740
Q9347934,Q42740
Q9353703,Q42740
Q10566557,Q42740
Q47258898,Q41975
Q986078,Q42740
Q1005462,Q42740
Q1135688,Q42740
Q1285764,Q42740
Q1290788,Q42740
Q1880052,Q42740
Q2883603,Q42740
Q2962606,Q42740
Q3082375,Q42740
Q3358500,Q42740
Q3370125,Q42740
Q3893571,Q42740
Q5374496,Q42740
Q5396554,Q42740
Q6168382,Q42740
Q6539974,Q42740
Q6653701,Q42740
Q6707473,Q42740
Q7225539,Q42740
Q7494127,Q42740
Q8044361,Q42740
Q8249433,Q42740
Q6251426,Q42406
Q6752158,Q42406
Q7343011,Q42406
Q7793422,Q42406
Q32860562,Q7325
Q1801816,Q42406
Q5082887,Q42406
Q323066,Q7325
Q350614,Q7325
Q464432,Q7325
Q4790335,Q7325
Q55789,Q1026
Q10922673,Q42740
Q7704647,Q7325
Q12596028,Q7325
Q125516423,Q41975
Q720012,Q7325
Q1372513,Q7325
Q11718848,Q1026
Q281728,Q7325
Q311607,Q7325
Q10919602,Q42740
Q10919020,Q42740
Q11043428,Q42740
Q75778,Q7325
Q58978,Q7325
Q931452,Q7325
Q6766499,Q7325
Q6876926,Q7325
Q9159652,Q1026
Q75164811,Q1026
Q11069938,Q42740
Q56825288,Q33578
Q106983812,Q7325
Q107213194,Q7325
Q133267,Q7325
Q4440640,Q7325
Q5431219,Q7325
Q77105429,Q7325
Q53834036,Q7325
Q57154853,Q7325
Q65967103,Q7325
Q66433892,Q7325
Q11105673,Q42740
Q11096250,Q42740
Q21477557,Q7325
Q37005704,Q7325
Q11137014,Q42740
Q11137016,Q42740
Q11138123,Q42740
Q11138773,Q42740
Q11572955,Q42740
Q15712340,Q42740
Q15902401,Q42740
Q15904009,Q42740
Q15909294,Q42740
Q15931221,Q42740
Q189526,Q30
Q710013,Q1026
Q16203734,Q42740
Q119114589,Q42406
Q919140,Q7325
Q1384661,Q7325
Q827736,Q7325
Q16076809,Q42740
Q16260246,Q42740
Q16603651,Q42740
Q49034,Q7325
Q107749835,Q7325
Q94358535,Q7325
Q98497295,Q7325
Q101579857,Q7325
Q105330482,Q7325
Q19825578,Q42740
Q11836139,Q7325
Q14918803,Q7325
Q23621902,Q42740
Q24589873,Q42740
Q1804,Q7325
Q4039,Q7325
Q4011323,Q7325
Q4885170,Q7325
Q6119393,Q7325
Q25712548,Q42740
Q25936988,Q42740
Q26240224,Q42740
Q26240228,Q42740
Q27925297,Q42740
Q28410931,Q42740
Q21008400,Q42740
Q30946073,Q42740
Q30948443,Q42740
Q39487254,Q42740
Q45436474,Q42740
Q467574,Q7325
Q93284,Q7325
Q131545,Q7325
Q205000,Q7325
Q27681790,Q7325
Q5509254,Q34311
Q19610277,Q34311
Q124649264,Q34311
Q17519832,Q7325
Q317630,Q12223
Q124092093,Q12223
Q124519196,Q12223
Q125191825,Q12223
Q1790893,Q7325
Q2960275,Q7325
Q1890317,Q7325
Q2074722,Q7325
Q234207,Q34069
Q578414,Q34069
Q2388576,Q34069
Q15453111,Q34069
Q28664905,Q35565
Q123686240,Q36368
Q13208722,Q35565
Q97346532,Q36692
Q5342684,Q8060
Q87181302,Q13201
Q4066106,Q15763
Q125449515,Q12223
Q170576,Q19109
Q9209979,Q8060
Q12058679,Q8060
Q89772206,Q8060
Q98800519,Q8060
Q106893979,Q8060
Q11143524,Q41975
Q45472110,Q41975
Q45691803,Q41975
Q45707450,Q41975
Q27681790,Q36747
Q16205363,Q42406
Q334923,Q35323
Q479063,Q35323
Q3780300,Q35323
Q12244868,Q35323
Q116263882,Q35323
Q10899347,Q42740
Q10899497,Q42740
Q10899517,Q42740
Q208026,Q42406
Q43203,Q42406
Q10899754,Q42740
Q10900258,Q42740
Q4990926,Q42740
Q1207228,Q42740
Q1395433,Q42740
Q1562454,Q42740
Q2962602,Q42740
Q3138460,Q42740
Q3237589,Q42740
Q3273465,Q42740
Q3276928,Q42740
Q3380988,Q42740
Q3540951,Q42740
Q3571842,Q42740
Q3573221,Q42740
Q3893810,Q42740
Q3893897,Q42740
Q4388724,Q42740
Q4499263,Q42740
Q5091225,Q42740
Q5209048,Q42740
Q5443384,Q42740
Q5581680,Q42740
Q6143494,Q42740
Q6669309,Q42740
Q6676690,Q42740
Q7129659,Q42740
Q7482632,Q42740
Q7494139,Q42740
Q8038919,Q42740
Q8071038,Q42740
Q8246409,Q42740
Q8249129,Q42740
Q8249175,Q42740
Q381074,Q42740
Q36970,Q42740
Q603765,Q42740
Q619005,Q42740
Q698781,Q42740
Q701037,Q42740
Q704075,Q42740
Q704607,Q42740
Q706244,Q42740
Q706861,Q42740
Q711647,Q42740
Q716338,Q42740
Q716959,Q42740
Q9738,Q42740
Q45672104,Q41975
Q45680468,Q41975
Q10886449,Q42740
Q10887325,Q42740
Q45472080,Q42740
Q10922922,Q42740
Q10923819,Q42740
Q10924409,Q42740
Q10931868,Q42740
Q10887834,Q42740
Q10887897,Q42740
Q10889037,Q42740
Q10889489,Q42740
Q10889501,Q42740
Q8249439,Q42740
Q8249444,Q42740
Q8249488,Q42740
Q8249514,Q42740
Q8253250,Q42740
Q8254137,Q42740
Q8914991,Q42740
Q9422638,Q42740
Q9465783,Q42740
Q10349754,Q42740
Q10565705,Q42740
Q10947658,Q42740
Q10949100,Q42740
Q10950731,Q42740
Q11039709,Q42740
Q10920796,Q42740
Q10920935,Q42740
Q10920991,Q42740
Q10920353,Q42740
Q10916095,Q42740
Q10918693,Q42740
Q10918806,Q42740
Q11069248,Q42740
Q11068813,Q42740
Q11068243,Q42740
Q11094003,Q42740
Q11098251,Q42740
Q11089435,Q42740
Q11091060,Q42740
Q11091587,Q42740
Q11060217,Q42740
Q11062633,Q42740
Q11067115,Q42740
Q11067741,Q42740
Q11095977,Q42740
Q11095991,Q42740
Q11096365,Q42740
Q11096447,Q42740
Q11070782,Q42740
Q11070982,Q42740
Q11085013,Q42740
Q11085257,Q42740
Q11085302,Q42740
Q11096898,Q42740
Q11097047,Q42740
Q11108914,Q42740
Q11108991,Q42740
Q16078822,Q42740
Q45503932,Q42740
Q45506100,Q42740
Q11113724,Q42740
Q11114401,Q42740
Q45509975,Q42740
Q11139526,Q42740
Q11153554,Q42740
Q11172617,Q42740
Q11176139,Q42740
Q11176417,Q42740
Q11180138,Q42740
Q11134618,Q42740
Q11135611,Q42740
Q11136565,Q42740
Q11136934,Q42740
Q11136981,Q42740
Q11137214,Q42740
Q11138252,Q42740
Q11138272,Q42740
Q11138446,Q42740
Q11138636,Q42740
Q15924299,Q42740
Q15924444,Q42740
Q15925901,Q42740
Q15927330,Q42740
Q15927527,Q42740
Q15927574,Q42740
Q15933191,Q42740
Q15902610,Q42740
Q15908827,Q42740
Q15900172,Q42740
Q15929084,Q42740
Q15929294,Q42740
Q15896136,Q42740
Q11293998,Q42740
Q11610448,Q42740
Q11626505,Q42740
Q11658432,Q42740
Q13668070,Q42740
Q13710031,Q42740
Q13712369,Q42740
Q15712357,Q42740
Q15898672,Q42740
Q15934343,Q42740
Q15938298,Q42740
Q16077272,Q42740
Q16077399,Q42740
Q16077468,Q42740
Q16077690,Q42740
Q16078318,Q42740
Q15941008,Q42740
Q15912673,Q42740
Q15914674,Q42740
Q15914766,Q42740
Q15915005,Q42740
Q15916460,Q42740
Q15920445,Q42740
Q15920903,Q42740
Q15921570,Q42740
Q15921595,Q42740
Q15941917,Q42740
Q16903334,Q42740
Q16903878,Q42740
Q16904191,Q42740
Q16904221,Q42740
Q16904615,Q42740
Q15931704,Q42740
Q15932139,Q42740
Q16076435,Q42740
Q16076505,Q42740
Q16076707,Q42740
Q16186051,Q42740
Q16260219,Q42740
Q16260279,Q42740
Q16922085,Q42740
Q16922100,Q42740
Q16922543,Q42740
Q17023424,Q42740
Q17498624,Q42740
Q16921546,Q42740
Q16921610,Q42740
Q16921623,Q42740
Q16921621,Q42740
Q16921635,Q42740
Q28413645,Q42740
Q28413690,Q42740
Q28416926,Q42740
Q28418290,Q42740
Q28418819,Q42740
Q30158228,Q42740
Q30940711,Q42740
Q15938606,Q42740
Q15938769,Q42740
Q16075676,Q42740
Q16075769,Q42740
Q15951532,Q42740
Q16923327,Q42740
Q16921231,Q42740
Q16921272,Q42740
Q16921307,Q42740
Q16921390,Q42740
Q16921777,Q42740
Q16921859,Q42740
Q16921891,Q42740
Q21015062,Q42740
Q22773553,Q42740
Q45561042,Q42740
Q16922607,Q42740
Q16922611,Q42740
Q16922731,Q42740
Q16922752,Q42740
Q16923017,Q42740
Q16923159,Q42740
Q18658370,Q42740
Q18668855,Q42740
Q18905503,Q42740
Q18907155,Q42740
Q18907261,Q42740
Q18908253,Q42740
Q18909376,Q42740
Q45444314,Q42740
Q45444375,Q42740
Q45444372,Q42740
Q45444499,Q42740
Q45444563,Q42740
Q45444571,Q42740
Q45444699,Q42740
Q45444821,Q42740
Q45444825,Q42740
Q45444946,Q42740
Q45445008,Q42740
Q45445079,Q42740
Q45445294,Q42740
Q45445324,Q42740
Q45445389,Q42740
Q45445421,Q42740
Q45445451,Q42740
Q45445513,Q42740
Q45445575,Q42740
Q24834812,Q42740
Q24835143,Q42740
Q24837814,Q42740
Q25712553,Q42740
Q25712558,Q42740
Q26240221,Q42740
Q28409846,Q42740
Q45441336,Q42740
Q45441488,Q42740
Q45441588,Q42740
Q45441842,Q42740
Q45441870,Q42740
Q45441970,Q42740
Q45442077,Q42740
Q45442157,Q42740
Q45442286,Q42740
Q45442317,Q42740
Q45442415,Q42740
Q45442443,Q42740
Q45442604,Q42740
Q45442638,Q42740
Q30942765,Q42740
Q30943104,Q42740
Q30943105,Q42740
Q30943110,Q42740
Q30943139,Q42740
Q30944171,Q42740
Q45575399,Q42740
Q30950311,Q42740
Q30950518,Q42740
Q30950586,Q42740
Q45363730,Q42740
Q45416458,Q42740
Q45416516,Q42740
Q45416551,Q42740
Q45418414,Q42740
Q45425343,Q42740
Q45427591,Q42740
Q45427975,Q42740
Q45432032,Q42740
Q45433161,Q42740
Q45434418,Q42740
Q45436320,Q42740
Q45448409,Q42740
Q45448578,Q42740
Q45448597,Q42740
Q45448835,Q42740
Q45448912,Q42740
Q45448975,Q42740
Q45449023,Q42740
Q45449039,Q42740
Q45449037,Q42740
Q45449085,Q42740
Q45449098,Q42740
